DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23040,BBC067,SPXXXT,23040,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23110,BBC067,SPXXXT,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23120,BBC067,SPXXXT,23120,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23170,BBC067,SPXXXT,23170,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23260,BBC067,SPXXXT,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23800,BBC067,SPXXXT,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23810,BBC067,SPXXXT,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-23820,BBC067,SPXXXT,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-24870,BBC067,SPXXXT,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-24920,BBC067,SPXXXT,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-25250,BBC067,SPXXXT,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXT-25280,BBC067,SPXXXT,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXV-21100,BBC067,SPXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-SPXXXV-25250,BBC067,SPXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-WAXXXF-21100,BBC067,WAXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-WAXXXF-25250,BBC067,WAXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-WAXXXV-21100,BBC067,WAXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC067-WAXXXV-25250,BBC067,WAXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC068-ADEVXF-21100,BBC068,ADEVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC068-ADEVXF-25250,BBC068,ADEVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC068-ADEVXV-21100,BBC068,ADEVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC068-ADEVXV-25250,BBC068,ADEVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC068-ASRMXF-21100,BBC068,ASRMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC068-ASRMXF-25250,BBC068,ASRMXF,25250,UK,,
