DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-21390,BBC125D,MESWLV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-21400,BBC125D,MESWLV,21400,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-21570,BBC125D,MESWLV,21570,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-21700,BBC125D,MESWLV,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-21710,BBC125D,MESWLV,21710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-22130,BBC125D,MESWLV,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-22140,BBC125D,MESWLV,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-22150,BBC125D,MESWLV,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-22175,BBC125D,MESWLV,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-22800,BBC125D,MESWLV,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23100,BBC125D,MESWLV,23100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23110,BBC125D,MESWLV,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23170,BBC125D,MESWLV,23170,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23190,BBC125D,MESWLV,23190,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23220,BBC125D,MESWLV,23220,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23260,BBC125D,MESWLV,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23800,BBC125D,MESWLV,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23810,BBC125D,MESWLV,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-23820,BBC125D,MESWLV,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-24870,BBC125D,MESWLV,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-24920,BBC125D,MESWLV,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-25250,BBC125D,MESWLV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWLV-25280,BBC125D,MESWLV,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-20000,BBC125D,MESWXV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-20010,BBC125D,MESWXV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21000,BBC125D,MESWXV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21100,BBC125D,MESWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21300,BBC125D,MESWXV,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21310,BBC125D,MESWXV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21320,BBC125D,MESWXV,21320,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21330,BBC125D,MESWXV,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21340,BBC125D,MESWXV,21340,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21350,BBC125D,MESWXV,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21360,BBC125D,MESWXV,21360,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21370,BBC125D,MESWXV,21370,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21380,BBC125D,MESWXV,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21390,BBC125D,MESWXV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21400,BBC125D,MESWXV,21400,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21500,BBC125D,MESWXV,21500,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21510,BBC125D,MESWXV,21510,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21550,BBC125D,MESWXV,21550,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21560,BBC125D,MESWXV,21560,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21570,BBC125D,MESWXV,21570,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21600,BBC125D,MESWXV,21600,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21630,BBC125D,MESWXV,21630,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21700,BBC125D,MESWXV,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21710,BBC125D,MESWXV,21710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-21720,BBC125D,MESWXV,21720,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22110,BBC125D,MESWXV,22110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22130,BBC125D,MESWXV,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22140,BBC125D,MESWXV,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22150,BBC125D,MESWXV,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22160,BBC125D,MESWXV,22160,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22170,BBC125D,MESWXV,22170,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22175,BBC125D,MESWXV,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22180,BBC125D,MESWXV,22180,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22190,BBC125D,MESWXV,22190,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22700,BBC125D,MESWXV,22700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22710,BBC125D,MESWXV,22710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22800,BBC125D,MESWXV,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22820,BBC125D,MESWXV,22820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22830,BBC125D,MESWXV,22830,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-22840,BBC125D,MESWXV,22840,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23000,BBC125D,MESWXV,23000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23010,BBC125D,MESWXV,23010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23020,BBC125D,MESWXV,23020,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23040,BBC125D,MESWXV,23040,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23110,BBC125D,MESWXV,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23120,BBC125D,MESWXV,23120,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23130,BBC125D,MESWXV,23130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23170,BBC125D,MESWXV,23170,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23190,BBC125D,MESWXV,23190,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23210,BBC125D,MESWXV,23210,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23220,BBC125D,MESWXV,23220,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23260,BBC125D,MESWXV,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23358,BBC125D,MESWXV,23358,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23800,BBC125D,MESWXV,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23810,BBC125D,MESWXV,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-23820,BBC125D,MESWXV,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-24870,BBC125D,MESWXV,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-24920,BBC125D,MESWXV,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-25250,BBC125D,MESWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MESWXV-25280,BBC125D,MESWXV,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MGXXXF-21100,BBC125D,MGXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MGXXXF-25250,BBC125D,MGXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MRCWXF-21100,BBC125D,MRCWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MRCWXF-25250,BBC125D,MRCWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MRCWXV-21100,BBC125D,MRCWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-MRCWXV-25250,BBC125D,MRCWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC125D-PEXXXF-21100,BBC125D,PEXXXF,21100,UK,,
