LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1007241,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007242,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007242,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007242,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007242,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007243,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007243,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007243,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007243,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007244,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007244,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007244,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007244,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007245,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007245,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007245,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007245,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007246,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007246,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007246,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007246,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007247,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007247,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007247,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007247,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007248,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007248,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007248,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007248,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007249,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007249,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007249,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007249,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1007250,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007250,I25/O25,I25,22350,BBC,UK,GB,22350,UK,
1007250,IRVREG,London,22350,BBC,UK,GB,22350,UK,
1007250,NSCREG,London,22350,BBC,UK,GB,22350,UK,
1000190,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1000190,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000190,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000190,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003610,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003610,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003610,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003610,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007401,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007401,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007401,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007401,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007402,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007402,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007402,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007402,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007403,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007403,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007403,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007403,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007404,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007404,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007404,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1007404,NSCREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1000191,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1000191,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000191,IRVREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1000191,NSCREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003638,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003638,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003638,IRVREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003638,NSCREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003854,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003854,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003854,IRVREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003854,NSCREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003855,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003855,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003855,IRVREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003855,NSCREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003856,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003856,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003856,IRVREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1003856,NSCREG,Scotland & NI,22350,BBC,UK,GB,22350,UK,
1000192,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1000192,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1000192,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1000192,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003612,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003612,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003612,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003612,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003613,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003613,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003613,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003613,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003614,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003614,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003614,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003614,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003615,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003615,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003615,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003615,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003616,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003616,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003616,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003616,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003617,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003617,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003617,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003617,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003618,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
