LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1003078,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003078,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003079,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003079,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003079,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003080,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003080,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003080,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003081,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003081,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003081,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003082,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003082,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003082,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003083,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003083,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003083,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003084,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003084,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003084,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003085,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003085,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003085,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003086,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003086,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003086,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003087,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003087,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003087,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003088,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003088,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003088,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003089,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003089,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003089,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003090,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003090,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003090,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003091,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003091,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003091,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003092,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003092,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003092,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003093,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003093,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003093,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003094,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003094,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003094,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003095,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003095,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003095,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003096,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003096,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003096,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003097,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003097,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003097,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003098,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003098,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003098,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003099,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003099,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003099,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003100,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003100,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003100,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003101,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003101,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003101,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003102,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003102,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003102,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003103,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003103,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003103,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003104,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003104,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003104,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003105,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003105,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003105,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003106,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003106,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003106,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003107,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003107,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003107,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003108,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003108,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003108,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003109,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003109,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003109,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003110,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003110,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003110,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003111,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003111,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003111,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003112,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003112,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003112,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003113,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003113,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003113,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003114,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003114,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003114,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003115,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003115,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003115,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003116,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003116,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003116,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003117,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003117,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003117,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003118,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003118,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003118,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003119,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003119,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003119,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003120,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003120,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003120,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003121,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003121,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003121,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003122,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003122,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003122,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003123,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003123,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003123,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003124,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003124,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003124,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003125,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003125,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003125,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003126,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003126,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003126,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003127,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003127,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003127,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003128,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003128,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003128,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003129,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003129,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003129,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003130,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003130,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003130,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
