LOCATION,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID
1000261,22350,BBC,UK,GB
1000262,22350,BBC,UK,GB
1000263,22350,BBC,UK,GB
1000264,22350,BBC,UK,GB
1000265,22350,BBC,UK,GB
1000266,22350,BBC,UK,GB
1000267,22350,BBC,UK,GB
1000268,22350,BBC,UK,GB
1000269,22350,BBC,UK,GB
1000270,22350,BBC,UK,GB
1000271,22350,BBC,UK,GB
1000272,22350,BBC,UK,GB
1000273,22350,BBC,UK,GB
1000274,22350,BBC,UK,GB
1000275,22350,BBC,UK,GB
1000276,22350,BBC,UK,GB
1000277,22350,BBC,UK,GB
1000278,22350,BBC,UK,GB
1000279,22350,BBC,UK,GB
1000280,22350,BBC,UK,GB
1000281,22350,BBC,UK,GB
1000282,22350,BBC,UK,GB
1000283,22350,BBC,UK,GB
1000284,22350,BBC,UK,GB
1000285,22350,BBC,UK,GB
1000286,22350,BBC,UK,GB
1000287,22350,BBC,UK,GB
1000288,22350,BBC,UK,GB
1000289,22350,BBC,UK,GB
1000290,22350,BBC,UK,GB
1000291,22350,BBC,UK,GB
1000292,22350,BBC,UK,GB
1000293,22350,BBC,UK,GB
1000294,22350,BBC,UK,GB
1000295,22350,BBC,UK,GB
1000296,22350,BBC,UK,GB
1000297,22350,BBC,UK,GB
1000298,22350,BBC,UK,GB
1000299,22350,BBC,UK,GB
1000300,22350,BBC,UK,GB
1000301,22350,BBC,UK,GB
1000302,22350,BBC,UK,GB
1000303,22350,BBC,UK,GB
1000304,22350,BBC,UK,GB
1000305,22350,BBC,UK,GB
1000306,22350,BBC,UK,GB
1000307,22350,BBC,UK,GB
1000308,22350,BBC,UK,GB
1000309,22350,BBC,UK,GB
1000310,22350,BBC,UK,GB
1000311,22350,BBC,UK,GB
1000312,22350,BBC,UK,GB
1000313,22350,BBC,UK,GB
1000314,22350,BBC,UK,GB
1000315,22350,BBC,UK,GB
1000316,22350,BBC,UK,GB
1000317,22350,BBC,UK,GB
1000318,22350,BBC,UK,GB
1000319,22350,BBC,UK,GB
1000320,22350,BBC,UK,GB
1000321,22350,BBC,UK,GB
1000322,22350,BBC,UK,GB
1000323,22350,BBC,UK,GB
1000324,22350,BBC,UK,GB
1000325,22350,BBC,UK,GB
1000326,22350,BBC,UK,GB
1000327,22350,BBC,UK,GB
1000328,22350,BBC,UK,GB
1000329,22350,BBC,UK,GB
1000330,22350,BBC,UK,GB
1000331,22350,BBC,UK,GB
1000332,22350,BBC,UK,GB
1000333,22350,BBC,UK,GB
1000334,22350,BBC,UK,GB
1000335,22350,BBC,UK,GB
1000336,22350,BBC,UK,GB
1000337,22350,BBC,UK,GB
1000338,22350,BBC,UK,GB
1000339,22350,BBC,UK,GB
1000340,22350,BBC,UK,GB
1000341,22350,BBC,UK,GB
1000342,22350,BBC,UK,GB
1000343,22350,BBC,UK,GB
1000344,22350,BBC,UK,GB
1000345,22350,BBC,UK,GB
1000346,22350,BBC,UK,GB
1000347,22350,BBC,UK,GB
1000348,22350,BBC,UK,GB
1000349,22350,BBC,UK,GB
1000350,22350,BBC,UK,GB
1000351,22350,BBC,UK,GB
1000352,22350,BBC,UK,GB
1000353,22350,BBC,UK,GB
1000354,22350,BBC,UK,GB
1000355,22350,BBC,UK,GB
1000356,22350,BBC,UK,GB
1000357,22350,BBC,UK,GB
1000358,22350,BBC,UK,GB
1000359,22350,BBC,UK,GB
1000360,22350,BBC,UK,GB
1000361,22350,BBC,UK,GB
1000362,22350,BBC,UK,GB
1000363,22350,BBC,UK,GB
1000364,22350,BBC,UK,GB
1000365,22350,BBC,UK,GB
1000366,22350,BBC,UK,GB
1000367,22350,BBC,UK,GB
1000368,22350,BBC,UK,GB
1000369,22350,BBC,UK,GB
1000370,22350,BBC,UK,GB
1000371,22350,BBC,UK,GB
1000372,22350,BBC,UK,GB
1000373,22350,BBC,UK,GB
1000374,22350,BBC,UK,GB
1000375,22350,BBC,UK,GB
1000376,22350,BBC,UK,GB
1000377,22350,BBC,UK,GB
1000378,22350,BBC,UK,GB
1000379,22350,BBC,UK,GB
1000380,22350,BBC,UK,GB
1000381,22350,BBC,UK,GB
1000382,22350,BBC,UK,GB
1000383,22350,BBC,UK,GB
1000384,22350,BBC,UK,GB
1000385,22350,BBC,UK,GB
1000386,22350,BBC,UK,GB
1000387,22350,BBC,UK,GB
1000388,22350,BBC,UK,GB
1000389,22350,BBC,UK,GB
1000390,22350,BBC,UK,GB
1000391,22350,BBC,UK,GB
1000392,22350,BBC,UK,GB
1000393,22350,BBC,UK,GB
1000394,22350,BBC,UK,GB
1000395,22350,BBC,UK,GB
1000396,22350,BBC,UK,GB
1000397,22350,BBC,UK,GB
1000398,22350,BBC,UK,GB
1000399,22350,BBC,UK,GB
1000400,22350,BBC,UK,GB
1000401,22350,BBC,UK,GB
1000402,22350,BBC,UK,GB
1000403,22350,BBC,UK,GB
1000404,22350,BBC,UK,GB
1000405,22350,BBC,UK,GB
1000406,22350,BBC,UK,GB
1000407,22350,BBC,UK,GB
1000408,22350,BBC,UK,GB
1000409,22350,BBC,UK,GB
1000410,22350,BBC,UK,GB
1000411,22350,BBC,UK,GB
1000412,22350,BBC,UK,GB
1000413,22350,BBC,UK,GB
1000414,22350,BBC,UK,GB
1000415,22350,BBC,UK,GB
1000416,22350,BBC,UK,GB
1000417,22350,BBC,UK,GB
1000418,22350,BBC,UK,GB
1000419,22350,BBC,UK,GB
1000420,22350,BBC,UK,GB
1000421,22350,BBC,UK,GB
1000422,22350,BBC,UK,GB
1000423,22350,BBC,UK,GB
1000424,22350,BBC,UK,GB
1000425,22350,BBC,UK,GB
1000426,22350,BBC,UK,GB
1000427,22350,BBC,UK,GB
1000428,22350,BBC,UK,GB
1000429,22350,BBC,UK,GB
1000430,22350,BBC,UK,GB
1000431,22350,BBC,UK,GB
1000432,22350,BBC,UK,GB
1000433,22350,BBC,UK,GB
1000434,22350,BBC,UK,GB
1000435,22350,BBC,UK,GB
1000436,22350,BBC,UK,GB
1000437,22350,BBC,UK,GB
1000438,22350,BBC,UK,GB
1000439,22350,BBC,UK,GB
1000440,22350,BBC,UK,GB
1000441,22350,BBC,UK,GB
1000442,22350,BBC,UK,GB
1000443,22350,BBC,UK,GB
1000444,22350,BBC,UK,GB
1000445,22350,BBC,UK,GB
1000446,22350,BBC,UK,GB
1000447,22350,BBC,UK,GB
1000448,22350,BBC,UK,GB
1000449,22350,BBC,UK,GB
1000450,22350,BBC,UK,GB
1000451,22350,BBC,UK,GB
1000452,22350,BBC,UK,GB
1000453,22350,BBC,UK,GB
1000454,22350,BBC,UK,GB
1000455,22350,BBC,UK,GB
1000456,22350,BBC,UK,GB
1000457,22350,BBC,UK,GB
1000458,22350,BBC,UK,GB
1000459,22350,BBC,UK,GB
1000460,22350,BBC,UK,GB
1000461,22350,BBC,UK,GB
1000462,22350,BBC,UK,GB
1000463,22350,BBC,UK,GB
1000464,22350,BBC,UK,GB
1000465,22350,BBC,UK,GB
1000466,22350,BBC,UK,GB
1000467,22350,BBC,UK,GB
1000468,22350,BBC,UK,GB
1000469,22350,BBC,UK,GB
1000470,22350,BBC,UK,GB
1000471,22350,BBC,UK,GB
1000472,22350,BBC,UK,GB
1000473,22350,BBC,UK,GB
1000474,22350,BBC,UK,GB
1000475,22350,BBC,UK,GB
1000476,22350,BBC,UK,GB
1000477,22350,BBC,UK,GB
1000478,22350,BBC,UK,GB
1000479,22350,BBC,UK,GB
1000480,22350,BBC,UK,GB
1000481,22350,BBC,UK,GB
1000482,22350,BBC,UK,GB
1000483,22350,BBC,UK,GB
1000484,22350,BBC,UK,GB
1000485,22350,BBC,UK,GB
1000486,22350,BBC,UK,GB
1000487,22350,BBC,UK,GB
1000488,22350,BBC,UK,GB
1000489,22350,BBC,UK,GB
1000490,22350,BBC,UK,GB
1000491,22350,BBC,UK,GB
1000492,22350,BBC,UK,GB
1000493,22350,BBC,UK,GB
1000494,22350,BBC,UK,GB
1000495,22350,BBC,UK,GB
1000496,22350,BBC,UK,GB
1000497,22350,BBC,UK,GB
1000498,22350,BBC,UK,GB
1000499,22350,BBC,UK,GB
1000500,22350,BBC,UK,GB
1000501,22350,BBC,UK,GB
1000502,22350,BBC,UK,GB
1000503,22350,BBC,UK,GB
1000504,22350,BBC,UK,GB
1000505,22350,BBC,UK,GB
1000506,22350,BBC,UK,GB
1000507,22350,BBC,UK,GB
1000508,22350,BBC,UK,GB
1000509,22350,BBC,UK,GB
1000510,22350,BBC,UK,GB
1000511,22350,BBC,UK,GB
1000512,22350,BBC,UK,GB
1000513,22350,BBC,UK,GB
1000514,22350,BBC,UK,GB
1000515,22350,BBC,UK,GB
1000516,22350,BBC,UK,GB
1000517,22350,BBC,UK,GB
1000518,22350,BBC,UK,GB
1000519,22350,BBC,UK,GB
1000520,22350,BBC,UK,GB
1000521,22350,BBC,UK,GB
1000522,22350,BBC,UK,GB
1000523,22350,BBC,UK,GB
1000524,22350,BBC,UK,GB
1000525,22350,BBC,UK,GB
1000526,22350,BBC,UK,GB
1000527,22350,BBC,UK,GB
1000528,22350,BBC,UK,GB
1000529,22350,BBC,UK,GB
1000530,22350,BBC,UK,GB
1000531,22350,BBC,UK,GB
1000532,22350,BBC,UK,GB
1000533,22350,BBC,UK,GB
1000534,22350,BBC,UK,GB
1000535,22350,BBC,UK,GB
1000536,22350,BBC,UK,GB
1000537,22350,BBC,UK,GB
1000538,22350,BBC,UK,GB
1000539,22350,BBC,UK,GB
1000540,22350,BBC,UK,GB
1000541,22350,BBC,UK,GB
1000542,22350,BBC,UK,GB
1000543,22350,BBC,UK,GB
1000544,22350,BBC,UK,GB
1000545,22350,BBC,UK,GB
1000546,22350,BBC,UK,GB
1000547,22350,BBC,UK,GB
1000548,22350,BBC,UK,GB
1000549,22350,BBC,UK,GB
1000550,22350,BBC,UK,GB
1000551,22350,BBC,UK,GB
1000552,22350,BBC,UK,GB
1000553,22350,BBC,UK,GB
1000554,22350,BBC,UK,GB
1000555,22350,BBC,UK,GB
1000556,22350,BBC,UK,GB
1000557,22350,BBC,UK,GB
1000558,22350,BBC,UK,GB
1000559,22350,BBC,UK,GB
1000560,22350,BBC,UK,GB
1000561,22350,BBC,UK,GB
1000562,22350,BBC,UK,GB
1000563,22350,BBC,UK,GB
1000564,22350,BBC,UK,GB
1000565,22350,BBC,UK,GB
1000566,22350,BBC,UK,GB
1000567,22350,BBC,UK,GB
1000568,22350,BBC,UK,GB
1000569,22350,BBC,UK,GB
1000570,22350,BBC,UK,GB
1000571,22350,BBC,UK,GB
1000572,22350,BBC,UK,GB
1000573,22350,BBC,UK,GB
1000574,22350,BBC,UK,GB
1000575,22350,BBC,UK,GB
1000576,22350,BBC,UK,GB
1000577,22350,BBC,UK,GB
1000578,22350,BBC,UK,GB
1000579,22350,BBC,UK,GB
1000580,22350,BBC,UK,GB
1000581,22350,BBC,UK,GB
1000582,22350,BBC,UK,GB
1000583,22350,BBC,UK,GB
1000584,22350,BBC,UK,GB
1000585,22350,BBC,UK,GB
1000586,22350,BBC,UK,GB
1000587,22350,BBC,UK,GB
1000588,22350,BBC,UK,GB
1000589,22350,BBC,UK,GB
1000590,22350,BBC,UK,GB
1000591,22350,BBC,UK,GB
1000592,22350,BBC,UK,GB
1000593,22350,BBC,UK,GB
1000594,22350,BBC,UK,GB
1000595,22350,BBC,UK,GB
1000596,22350,BBC,UK,GB
1000597,22350,BBC,UK,GB
1000598,22350,BBC,UK,GB
1000599,22350,BBC,UK,GB
1000600,22350,BBC,UK,GB
1000601,22350,BBC,UK,GB
1000602,22350,BBC,UK,GB
1000603,22350,BBC,UK,GB
1000604,22350,BBC,UK,GB
1000605,22350,BBC,UK,GB
1000606,22350,BBC,UK,GB
1000607,22350,BBC,UK,GB
1000608,22350,BBC,UK,GB
1000609,22350,BBC,UK,GB
1000610,22350,BBC,UK,GB
1000611,22350,BBC,UK,GB
1000664,22350,BBC,UK,GB
1000665,22350,BBC,UK,GB
1000666,22350,BBC,UK,GB
1000667,22350,BBC,UK,GB
1000668,22350,BBC,UK,GB
1000669,22350,BBC,UK,GB
1000670,22350,BBC,UK,GB
1000671,22350,BBC,UK,GB
1000672,22350,BBC,UK,GB
1000673,22350,BBC,UK,GB
1000674,22350,BBC,UK,GB
1000675,22350,BBC,UK,GB
1000676,22350,BBC,UK,GB
1000677,22350,BBC,UK,GB
1000678,22350,BBC,UK,GB
1000679,22350,BBC,UK,GB
1000680,22350,BBC,UK,GB
1000681,22350,BBC,UK,GB
1000682,22350,BBC,UK,GB
1000683,22350,BBC,UK,GB
1000684,22350,BBC,UK,GB
1000685,22350,BBC,UK,GB
1000686,22350,BBC,UK,GB
1000687,22350,BBC,UK,GB
1000688,22350,BBC,UK,GB
1000689,22350,BBC,UK,GB
1000690,22350,BBC,UK,GB
1000691,22350,BBC,UK,GB
1000692,22350,BBC,UK,GB
1000693,22350,BBC,UK,GB
1000694,22350,BBC,UK,GB
1000695,22350,BBC,UK,GB
1000696,22350,BBC,UK,GB
1000697,22350,BBC,UK,GB
