DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC012B-CLSPXV-21100,BBC012B,CLSPXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-CLSPXV-25250,BBC012B,CLSPXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-CLWCXF-21100,BBC012B,CLWCXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-CLWCXF-25250,BBC012B,CLWCXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-CLWCXV-21100,BBC012B,CLWCXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-CLWCXV-25250,BBC012B,CLWCXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-COPMXF-21100,BBC012B,COPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-COPMXF-25250,BBC012B,COPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-COPMXV-21100,BBC012B,COPMXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-COPMXV-25250,BBC012B,COPMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-ENXXXF-21100,BBC012B,ENXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-ENXXXF-25250,BBC012B,ENXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-ENXXXV-21100,BBC012B,ENXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-ENXXXV-25250,BBC012B,ENXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-GRXXXF-21100,BBC012B,GRXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-GRXXXF-25250,BBC012B,GRXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-GRXXXV-21100,BBC012B,GRXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-GRXXXV-25250,BBC012B,GRXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-HDXXXF-21100,BBC012B,HDXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-HDXXXF-25250,BBC012B,HDXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-MEPMLF-21100,BBC012B,MEPMLF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-MEPMLF-25250,BBC012B,MEPMLF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC012B-MEPMXF-21100,BBC012B,MEPMXF,21100,UK,,
