DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-20000,BBC024A,MESWLV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-20010,BBC024A,MESWLV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21000,BBC024A,MESWLV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21100,BBC024A,MESWLV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21260,BBC024A,MESWLV,21260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21300,BBC024A,MESWLV,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21310,BBC024A,MESWLV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21320,BBC024A,MESWLV,21320,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21330,BBC024A,MESWLV,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21350,BBC024A,MESWLV,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21370,BBC024A,MESWLV,21370,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21380,BBC024A,MESWLV,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21390,BBC024A,MESWLV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21400,BBC024A,MESWLV,21400,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21570,BBC024A,MESWLV,21570,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21700,BBC024A,MESWLV,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-21710,BBC024A,MESWLV,21710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-22130,BBC024A,MESWLV,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-22140,BBC024A,MESWLV,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-22150,BBC024A,MESWLV,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-22175,BBC024A,MESWLV,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-22800,BBC024A,MESWLV,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC024A-MESWLV-23100,BBC024A,MESWLV,23100,UK,,
