DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-21720,BBC011A,BFSWXV,21720,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22130,BBC011A,BFSWXV,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22140,BBC011A,BFSWXV,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22150,BBC011A,BFSWXV,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22175,BBC011A,BFSWXV,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22450,BBC011A,BFSWXV,22450,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22700,BBC011A,BFSWXV,22700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22710,BBC011A,BFSWXV,22710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22800,BBC011A,BFSWXV,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22810,BBC011A,BFSWXV,22810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22820,BBC011A,BFSWXV,22820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22830,BBC011A,BFSWXV,22830,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-22840,BBC011A,BFSWXV,22840,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23000,BBC011A,BFSWXV,23000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23040,BBC011A,BFSWXV,23040,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23100,BBC011A,BFSWXV,23100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23110,BBC011A,BFSWXV,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23120,BBC011A,BFSWXV,23120,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23260,BBC011A,BFSWXV,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23800,BBC011A,BFSWXV,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23810,BBC011A,BFSWXV,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-23820,BBC011A,BFSWXV,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-24870,BBC011A,BFSWXV,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-24920,BBC011A,BFSWXV,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-25250,BBC011A,BFSWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-BFSWXV-25280,BBC011A,BFSWXV,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLCCXF-21100,BBC011A,CLCCXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLCCXF-25250,BBC011A,CLCCXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLCCXV-21100,BBC011A,CLCCXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLCCXV-25250,BBC011A,CLCCXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLSPXF-21100,BBC011A,CLSPXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLSPXF-25250,BBC011A,CLSPXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLSPXV-21100,BBC011A,CLSPXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLSPXV-25250,BBC011A,CLSPXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLWCXF-21100,BBC011A,CLWCXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLWCXF-25250,BBC011A,CLWCXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLWCXV-21100,BBC011A,CLWCXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-CLWCXV-25250,BBC011A,CLWCXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-COPMXF-21100,BBC011A,COPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-COPMXF-25250,BBC011A,COPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-COPMXV-21100,BBC011A,COPMXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-COPMXV-25250,BBC011A,COPMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-ENXXXF-21100,BBC011A,ENXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-ENXXXF-25250,BBC011A,ENXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-ENXXXV-21100,BBC011A,ENXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-ENXXXV-25250,BBC011A,ENXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-GRXXXF-21100,BBC011A,GRXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-GRXXXF-25250,BBC011A,GRXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-GRXXXV-21100,BBC011A,GRXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-GRXXXV-25250,BBC011A,GRXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-HDXXXF-21100,BBC011A,HDXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-HDXXXF-25250,BBC011A,HDXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MEPMLF-21100,BBC011A,MEPMLF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MEPMLF-25250,BBC011A,MEPMLF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MEPMXF-21100,BBC011A,MEPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MEPMXF-25250,BBC011A,MEPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWLF-21100,BBC011A,MERWLF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWLF-25250,BBC011A,MERWLF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWLV-21100,BBC011A,MERWLV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWLV-25250,BBC011A,MERWLV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWXF-21100,BBC011A,MERWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWXF-25250,BBC011A,MERWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWXV-21100,BBC011A,MERWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MERWXV-25250,BBC011A,MERWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-20000,BBC011A,MESWLV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-20010,BBC011A,MESWLV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21000,BBC011A,MESWLV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21100,BBC011A,MESWLV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21260,BBC011A,MESWLV,21260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21300,BBC011A,MESWLV,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21310,BBC011A,MESWLV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21320,BBC011A,MESWLV,21320,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21330,BBC011A,MESWLV,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21350,BBC011A,MESWLV,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21370,BBC011A,MESWLV,21370,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21380,BBC011A,MESWLV,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21390,BBC011A,MESWLV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21400,BBC011A,MESWLV,21400,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21570,BBC011A,MESWLV,21570,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21700,BBC011A,MESWLV,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-21710,BBC011A,MESWLV,21710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC011A-MESWLV-22130,BBC011A,MESWLV,22130,UK,,
