DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21300,BBC190,SPXXXT,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21310,BBC190,SPXXXT,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21330,BBC190,SPXXXT,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21350,BBC190,SPXXXT,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21380,BBC190,SPXXXT,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21390,BBC190,SPXXXT,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21500,BBC190,SPXXXT,21500,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21620,BBC190,SPXXXT,21620,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21630,BBC190,SPXXXT,21630,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21640,BBC190,SPXXXT,21640,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-21700,BBC190,SPXXXT,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22130,BBC190,SPXXXT,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22140,BBC190,SPXXXT,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22150,BBC190,SPXXXT,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22175,BBC190,SPXXXT,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22700,BBC190,SPXXXT,22700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22710,BBC190,SPXXXT,22710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22800,BBC190,SPXXXT,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22810,BBC190,SPXXXT,22810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-22820,BBC190,SPXXXT,22820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23040,BBC190,SPXXXT,23040,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23110,BBC190,SPXXXT,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23120,BBC190,SPXXXT,23120,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23170,BBC190,SPXXXT,23170,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23260,BBC190,SPXXXT,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23800,BBC190,SPXXXT,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23810,BBC190,SPXXXT,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-23820,BBC190,SPXXXT,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-24870,BBC190,SPXXXT,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-24920,BBC190,SPXXXT,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-25250,BBC190,SPXXXT,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXT-25280,BBC190,SPXXXT,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXV-21100,BBC190,SPXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-SPXXXV-25250,BBC190,SPXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-WAXXXF-21100,BBC190,WAXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-WAXXXF-25250,BBC190,WAXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-WAXXXV-21100,BBC190,WAXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC190-WAXXXV-25250,BBC190,WAXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ADEVXF-21100,BBC191,ADEVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ADEVXF-25250,BBC191,ADEVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ADEVXV-21100,BBC191,ADEVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ADEVXV-25250,BBC191,ADEVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASRMXF-21100,BBC191,ASRMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASRMXF-25250,BBC191,ASRMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASRMXV-21100,BBC191,ASRMXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASRMXV-25250,BBC191,ASRMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASSVXF-21100,BBC191,ASSVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASSVXF-25250,BBC191,ASSVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASSVXV-21100,BBC191,ASSVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-ASSVXV-25250,BBC191,ASSVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-AVCWXF-21100,BBC191,AVCWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-AVCWXF-25250,BBC191,AVCWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-AVCWXV-21100,BBC191,AVCWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-AVCWXV-25250,BBC191,AVCWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFPMXF-21100,BBC191,BFPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFPMXF-25250,BBC191,BFPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFRWXF-21100,BBC191,BFRWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFRWXF-25250,BBC191,BFRWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFRWXV-21100,BBC191,BFRWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFRWXV-25250,BBC191,BFRWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFSWXV-20000,BBC191,BFSWXV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFSWXV-20010,BBC191,BFSWXV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFSWXV-21000,BBC191,BFSWXV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFSWXV-21100,BBC191,BFSWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFSWXV-21310,BBC191,BFSWXV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC191-BFSWXV-21390,BBC191,BFSWXV,21390,UK,,
