DATALOAD,IRV_MXCHRTOFACCTS,,EN
ACCOUNTNAME,ACTIVE,ACTIVEDATE,CHARTOFACCOUNTSID,EXPIREDATE,EXTERNALREFID,GLACCOUNT,GLCOMP01,GLCOMP02,GLCOMP03,ORGID,OWNERSYSID,SENDERSYSID
,,2014-06-23T14:00:00+00:00,,,,BBC172-POSMXV-25250,BBC172,POSMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-POXXXF-21100,BBC172,POXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-POXXXF-25250,BBC172,POXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-POXXXV-21100,BBC172,POXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-POXXXV-25250,BBC172,POXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-REXXXF-21100,BBC172,REXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-REXXXF-25250,BBC172,REXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-REXXXV-21100,BBC172,REXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-REXXXV-25250,BBC172,REXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-RPCWXF-21100,BBC172,RPCWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-RPCWXF-25250,BBC172,RPCWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-RPCWXV-21100,BBC172,RPCWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-RPCWXV-25250,BBC172,RPCWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-20000,BBC172,SCMGX,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-20010,BBC172,SCMGX,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-21000,BBC172,SCMGX,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-21100,BBC172,SCMGX,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-22150,BBC172,SCMGX,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-23800,BBC172,SCMGX,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-23810,BBC172,SCMGX,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-23820,BBC172,SCMGX,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-25250,BBC172,SCMGX,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SCMGX-25280,BBC172,SCMGX,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SMXXXV-21100,BBC172,SMXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SMXXXV-25250,BBC172,SMXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXF-21100,BBC172,SPXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXF-25250,BBC172,SPXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-20000,BBC172,SPXXXT,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-20010,BBC172,SPXXXT,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21000,BBC172,SPXXXT,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21100,BBC172,SPXXXT,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21250,BBC172,SPXXXT,21250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21300,BBC172,SPXXXT,21300,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21310,BBC172,SPXXXT,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21330,BBC172,SPXXXT,21330,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21350,BBC172,SPXXXT,21350,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21380,BBC172,SPXXXT,21380,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21390,BBC172,SPXXXT,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21500,BBC172,SPXXXT,21500,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21620,BBC172,SPXXXT,21620,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21630,BBC172,SPXXXT,21630,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21640,BBC172,SPXXXT,21640,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-21700,BBC172,SPXXXT,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22130,BBC172,SPXXXT,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22140,BBC172,SPXXXT,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22150,BBC172,SPXXXT,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22175,BBC172,SPXXXT,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22700,BBC172,SPXXXT,22700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22710,BBC172,SPXXXT,22710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22800,BBC172,SPXXXT,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22810,BBC172,SPXXXT,22810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-22820,BBC172,SPXXXT,22820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23040,BBC172,SPXXXT,23040,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23110,BBC172,SPXXXT,23110,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23120,BBC172,SPXXXT,23120,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23170,BBC172,SPXXXT,23170,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23260,BBC172,SPXXXT,23260,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23800,BBC172,SPXXXT,23800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23810,BBC172,SPXXXT,23810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-23820,BBC172,SPXXXT,23820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-24870,BBC172,SPXXXT,24870,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-24920,BBC172,SPXXXT,24920,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-25250,BBC172,SPXXXT,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXT-25280,BBC172,SPXXXT,25280,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXV-21100,BBC172,SPXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-SPXXXV-25250,BBC172,SPXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-WAXXXF-21100,BBC172,WAXXXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-WAXXXF-25250,BBC172,WAXXXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-WAXXXV-21100,BBC172,WAXXXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC172-WAXXXV-25250,BBC172,WAXXXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ADEVXF-21100,BBC173,ADEVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ADEVXF-25250,BBC173,ADEVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ADEVXV-21100,BBC173,ADEVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ADEVXV-25250,BBC173,ADEVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASRMXF-21100,BBC173,ASRMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASRMXF-25250,BBC173,ASRMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASRMXV-21100,BBC173,ASRMXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASRMXV-25250,BBC173,ASRMXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASSVXF-21100,BBC173,ASSVXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASSVXF-25250,BBC173,ASSVXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASSVXV-21100,BBC173,ASSVXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-ASSVXV-25250,BBC173,ASSVXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-AVCWXF-21100,BBC173,AVCWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-AVCWXF-25250,BBC173,AVCWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-AVCWXV-21100,BBC173,AVCWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-AVCWXV-25250,BBC173,AVCWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFPMXF-21100,BBC173,BFPMXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFPMXF-25250,BBC173,BFPMXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFRWXF-21100,BBC173,BFRWXF,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFRWXF-25250,BBC173,BFRWXF,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFRWXV-21100,BBC173,BFRWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFRWXV-25250,BBC173,BFRWXV,25250,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-20000,BBC173,BFSWXV,20000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-20010,BBC173,BFSWXV,20010,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21000,BBC173,BFSWXV,21000,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21100,BBC173,BFSWXV,21100,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21310,BBC173,BFSWXV,21310,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21390,BBC173,BFSWXV,21390,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21500,BBC173,BFSWXV,21500,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21570,BBC173,BFSWXV,21570,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21620,BBC173,BFSWXV,21620,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21630,BBC173,BFSWXV,21630,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21640,BBC173,BFSWXV,21640,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21700,BBC173,BFSWXV,21700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-21720,BBC173,BFSWXV,21720,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22130,BBC173,BFSWXV,22130,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22140,BBC173,BFSWXV,22140,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22150,BBC173,BFSWXV,22150,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22175,BBC173,BFSWXV,22175,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22450,BBC173,BFSWXV,22450,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22700,BBC173,BFSWXV,22700,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22710,BBC173,BFSWXV,22710,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22800,BBC173,BFSWXV,22800,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22810,BBC173,BFSWXV,22810,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22820,BBC173,BFSWXV,22820,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22830,BBC173,BFSWXV,22830,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-22840,BBC173,BFSWXV,22840,UK,,
,,2014-06-23T14:00:00+00:00,,,,BBC173-BFSWXV-23000,BBC173,BFSWXV,23000,UK,,
