DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC200373,2,BBCPDB02,UK,GB
BBC200373,4,BBCPDB03,UK,GB
BBC200373,20,BBCPDB04,UK,GB
BBC200374,1,BBCPDB01,UK,GB
BBC200374,2,BBCPDB02,UK,GB
BBC200374,4,BBCPDB03,UK,GB
BBC200374,20,BBCPDB04,UK,GB
BBC200375,1,BBCPDB01,UK,GB
BBC200375,2,BBCPDB02,UK,GB
BBC200375,4,BBCPDB03,UK,GB
BBC200375,20,BBCPDB04,UK,GB
BBC200376,1,BBCPDB01,UK,GB
BBC200376,2,BBCPDB02,UK,GB
BBC200376,4,BBCPDB03,UK,GB
BBC200376,20,BBCPDB04,UK,GB
BBC200377,1,BBCPDB01,UK,GB
BBC200377,2,BBCPDB02,UK,GB
BBC200377,4,BBCPDB03,UK,GB
BBC200377,20,BBCPDB04,UK,GB
BBC200378,1,BBCPDB01,UK,GB
BBC200378,2,BBCPDB02,UK,GB
BBC200378,4,BBCPDB03,UK,GB
BBC200378,20,BBCPDB04,UK,GB
BBC200379,1,BBCPDB01,UK,GB
BBC200379,2,BBCPDB02,UK,GB
BBC200379,4,BBCPDB03,UK,GB
BBC200379,20,BBCPDB04,UK,GB
BBC200380,1,BBCPDB01,UK,GB
BBC200380,2,BBCPDB02,UK,GB
BBC200380,4,BBCPDB03,UK,GB
BBC200380,20,BBCPDB04,UK,GB
BBC200381,1,BBCPDB01,UK,GB
BBC200381,2,BBCPDB02,UK,GB
BBC200381,4,BBCPDB03,UK,GB
BBC200381,20,BBCPDB04,UK,GB
BBC200382,1,BBCPDB01,UK,GB
BBC200382,2,BBCPDB02,UK,GB
BBC200382,4,BBCPDB03,UK,GB
BBC200382,20,BBCPDB04,UK,GB
BBC200383,1,BBCPDB01,UK,GB
BBC200383,2,BBCPDB02,UK,GB
BBC200383,4,BBCPDB03,UK,GB
BBC200383,20,BBCPDB04,UK,GB
BBC200384,1,BBCPDB01,UK,GB
BBC200384,2,BBCPDB02,UK,GB
BBC200384,4,BBCPDB03,UK,GB
BBC200384,20,BBCPDB04,UK,GB
BBC200385,1,BBCPDB01,UK,GB
BBC200385,2,BBCPDB02,UK,GB
BBC200385,4,BBCPDB03,UK,GB
BBC200385,20,BBCPDB04,UK,GB
BBC200386,1,BBCPDB01,UK,GB
BBC200386,2,BBCPDB02,UK,GB
BBC200386,4,BBCPDB03,UK,GB
BBC200386,20,BBCPDB04,UK,GB
BBC200387,1,BBCPDB01,UK,GB
BBC200387,2,BBCPDB02,UK,GB
BBC200387,4,BBCPDB03,UK,GB
BBC200387,20,BBCPDB04,UK,GB
BBC200388,1,BBCPDB01,UK,GB
BBC200388,2,BBCPDB02,UK,GB
BBC200388,4,BBCPDB03,UK,GB
BBC200388,20,BBCPDB04,UK,GB
BBC200389,1,BBCPDB01,UK,GB
BBC200389,2,BBCPDB02,UK,GB
BBC200389,4,BBCPDB03,UK,GB
BBC200389,20,BBCPDB04,UK,GB
BBC200390,1,BBCPDB01,UK,GB
BBC200390,2,BBCPDB02,UK,GB
BBC200390,4,BBCPDB03,UK,GB
BBC200390,20,BBCPDB04,UK,GB
BBC200391,1,BBCPDB01,UK,GB
BBC200391,2,BBCPDB02,UK,GB
BBC200391,4,BBCPDB03,UK,GB
BBC200391,20,BBCPDB04,UK,GB
BBC200392,1,BBCPDB01,UK,GB
BBC200392,2,BBCPDB02,UK,GB
BBC200392,4,BBCPDB03,UK,GB
BBC200392,20,BBCPDB04,UK,GB
BBC200393,1,BBCPDB01,UK,GB
BBC200393,2,BBCPDB02,UK,GB
BBC200393,4,BBCPDB03,UK,GB
BBC200393,20,BBCPDB04,UK,GB
BBC200394,1,BBCPDB01,UK,GB
BBC200394,2,BBCPDB02,UK,GB
BBC200394,4,BBCPDB03,UK,GB
BBC200394,20,BBCPDB04,UK,GB
BBC200395,1,BBCPDB01,UK,GB
BBC200395,2,BBCPDB02,UK,GB
BBC200395,4,BBCPDB03,UK,GB
BBC200395,20,BBCPDB04,UK,GB
BBC200396,1,BBCPDB01,UK,GB
BBC200396,2,BBCPDB02,UK,GB
BBC200396,4,BBCPDB03,UK,GB
BBC200396,20,BBCPDB04,UK,GB
BBC200397,1,BBCPDB01,UK,GB
BBC200397,2,BBCPDB02,UK,GB
BBC200397,4,BBCPDB03,UK,GB
BBC200397,20,BBCPDB04,UK,GB
BBC200398,1,BBCPDB01,UK,GB
BBC200398,2,BBCPDB02,UK,GB
BBC200398,4,BBCPDB03,UK,GB
BBC200398,20,BBCPDB04,UK,GB
BBC200399,1,BBCPDB01,UK,GB
BBC200399,2,BBCPDB02,UK,GB
BBC200399,4,BBCPDB03,UK,GB
BBC200399,20,BBCPDB04,UK,GB
BBC200400,1,BBCPDB01,UK,GB
BBC200400,2,BBCPDB02,UK,GB
BBC200400,4,BBCPDB03,UK,GB
BBC200400,20,BBCPDB04,UK,GB
BBC200401,1,BBCPDB01,UK,GB
BBC200401,2,BBCPDB02,UK,GB
BBC200401,4,BBCPDB03,UK,GB
BBC200401,20,BBCPDB04,UK,GB
BBC200402,1,BBCPDB01,UK,GB
BBC200402,2,BBCPDB02,UK,GB
BBC200402,4,BBCPDB03,UK,GB
BBC200402,20,BBCPDB04,UK,GB
BBC200403,1,BBCPDB01,UK,GB
BBC200403,2,BBCPDB02,UK,GB
BBC200403,4,BBCPDB03,UK,GB
BBC200403,20,BBCPDB04,UK,GB
BBC200404,1,BBCPDB01,UK,GB
BBC200404,2,BBCPDB02,UK,GB
BBC200404,4,BBCPDB03,UK,GB
BBC200404,20,BBCPDB04,UK,GB
BBC200405,1,BBCPDB01,UK,GB
BBC200405,2,BBCPDB02,UK,GB
BBC200405,4,BBCPDB03,UK,GB
BBC200405,20,BBCPDB04,UK,GB
BBC200406,1,BBCPWF01,UK,GB
BBC200407,1,BBCPWF01,UK,GB
BBC200408,1,BBCIHD01,UK,GB
BBC200408,2,BBCIHD02,UK,GB
BBC200408,4,BBCIHD03,UK,GB
BBC200409,1,BBCIHD01,UK,GB
BBC200409,2,BBCIHD02,UK,GB
BBC200409,4,BBCIHD03,UK,GB
BBC200410,1,BBCIHD01,UK,GB
BBC200410,2,BBCIHD02,UK,GB
BBC200410,4,BBCIHD03,UK,GB
BBC200411,1,BBCIHD01,UK,GB
BBC200411,2,BBCIHD02,UK,GB
BBC200411,4,BBCIHD03,UK,GB
BBC200412,1,BBCIHD01,UK,GB
BBC200412,2,BBCIHD02,UK,GB
BBC200412,4,BBCIHD03,UK,GB
BBC200413,1,BBCIHD01,UK,GB
BBC200413,2,BBCIHD02,UK,GB
BBC200413,4,BBCIHD03,UK,GB
BBC200414,1,BBCAGD01,UK,GB
BBC200414,2,BBCAGD02,UK,GB
BBC200415,1,BBCAGD01,UK,GB
BBC200415,2,BBCAGD02,UK,GB
BBC200416,1,BBCAGD01,UK,GB
BBC200416,2,BBCAGD02,UK,GB
BBC200417,1,BBCAGD01,UK,GB
BBC200417,2,BBCAGD02,UK,GB
BBC200418,1,BBCAGD01,UK,GB
BBC200418,2,BBCAGD02,UK,GB
BBC200419,1,BBCAGD01,UK,GB
BBC200419,2,BBCAGD02,UK,GB
BBC200420,1,BBCAGD01,UK,GB
BBC200420,2,BBCAGD02,UK,GB
BBC200421,1,BBCAGD01,UK,GB
BBC200421,2,BBCAGD02,UK,GB
BBC200422,1,BBCAGD01,UK,GB
BBC200422,2,BBCAGD02,UK,GB
BBC200423,1,BBCAGD01,UK,GB
BBC200423,2,BBCAGD02,UK,GB
BBC200424,1,BBCAGD01,UK,GB
