DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC138805,1,BBCSDG01,UK,GB
BBC138805,52,BBCSDG02,UK,GB
BBC138805,156,BBCSDG03,UK,GB
BBC138808,1,BBCSDG01,UK,GB
BBC138808,52,BBCSDG02,UK,GB
BBC138808,156,BBCSDG03,UK,GB
BBC138811,1,BBCSDG01,UK,GB
BBC138811,52,BBCSDG02,UK,GB
BBC138811,156,BBCSDG03,UK,GB
BBC138814,1,BBCDAC01,UK,GB
BBC138815,1,BBCDAC01,UK,GB
BBC138816,1,BBCDAC01,UK,GB
BBC138817,1,BBCDAC01,UK,GB
BBC138818,1,BBCDAC01,UK,GB
BBC138819,1,BBCDAC01,UK,GB
BBC138820,1,BBCDAC01,UK,GB
BBC138821,1,BBCDAC01,UK,GB
BBC138822,1,BBCDAC01,UK,GB
BBC138823,1,BBCDAC01,UK,GB
BBC138824,1,BBCDAC01,UK,GB
BBC138825,1,BBCDAC01,UK,GB
BBC138826,1,BBCEEB01,UK,GB
BBC138827,1,BBCEEB01,UK,GB
BBC138828,1,BBCEEB01,UK,GB
BBC138829,1,BBCEEB01,UK,GB
BBC138830,1,BBCEEB01,UK,GB
BBC138831,1,BBCEEB01,UK,GB
BBC138832,1,BBCEEB01,UK,GB
BBC138833,1,BBCEEB01,UK,GB
BBC138834,1,BBCEEB01,UK,GB
BBC138835,1,BBCEEB01,UK,GB
BBC138836,1,BBCEEB01,UK,GB
BBC138837,1,BBCEEB01,UK,GB
BBC138838,1,BBCEEB01,UK,GB
BBC138839,1,BBCEEB01,UK,GB
BBC138840,1,BBCEEB01,UK,GB
BBC138841,1,BBCEEB01,UK,GB
BBC138842,1,BBCCPL01,UK,GB
BBC138842,4,BBCCPL02,UK,GB
BBC138842,20,BBCCPL03,UK,GB
BBC138845,1,BBCCPL01,UK,GB
BBC138845,4,BBCCPL02,UK,GB
BBC138845,20,BBCCPL03,UK,GB
BBC138848,1,BBCCPL01,UK,GB
BBC138848,4,BBCCPL02,UK,GB
BBC138848,20,BBCCPL03,UK,GB
BBC138851,1,BBCTHG01,UK,GB
BBC138851,4,BBCTHG02,UK,GB
BBC138853,1,BBCTHG01,UK,GB
BBC138853,4,BBCTHG02,UK,GB
BBC138855,1,BBCTHG01,UK,GB
BBC138855,4,BBCTHG02,UK,GB
BBC138857,1,BBCTHG01,UK,GB
BBC138857,4,BBCTHG02,UK,GB
BBC138859,1,BBCTHG01,UK,GB
BBC138859,4,BBCTHG02,UK,GB
BBC138861,1,BBCTHG01,UK,GB
BBC138861,4,BBCTHG02,UK,GB
BBC138863,1,BBCTHG01,UK,GB
BBC138863,4,BBCTHG02,UK,GB
BBC138865,1,BBCTHG01,UK,GB
BBC138865,4,BBCTHG02,UK,GB
BBC138867,1,BBCELT01,UK,GB
BBC138867,6,BBCELT02,UK,GB
BBC138867,12,BBCELT03,UK,GB
BBC138867,36,BBCELT04,UK,GB
BBC138871,1,BBCELT01,UK,GB
BBC138871,6,BBCELT02,UK,GB
BBC138871,12,BBCELT03,UK,GB
BBC138871,36,BBCELT04,UK,GB
BBC138875,1,BBCELT01,UK,GB
BBC138875,6,BBCELT02,UK,GB
BBC138875,12,BBCELT03,UK,GB
BBC138875,36,BBCELT04,UK,GB
BBC138879,1,BBCELT01,UK,GB
BBC138879,6,BBCELT02,UK,GB
BBC138879,12,BBCELT03,UK,GB
BBC138879,36,BBCELT04,UK,GB
BBC138883,1,BBCMTR01,UK,GB
BBC138884,1,BBCMTR01,UK,GB
BBC138885,1,BBCMTR01,UK,GB
BBC138886,1,BBCMTR01,UK,GB
BBC138887,1,BBCMTR01,UK,GB
BBC138888,1,BBCMTR01,UK,GB
BBC138889,1,BBCMTR01,UK,GB
BBC138890,1,BBCMTR01,UK,GB
BBC138891,1,BBCLTG01,UK,GB
BBC138891,2,BBCLTG02,UK,GB
BBC138891,10,BBCLTG03,UK,GB
BBC138894,1,BBCLTG01,UK,GB
BBC138894,2,BBCLTG02,UK,GB
BBC138894,10,BBCLTG03,UK,GB
BBC138897,1,BBCLTG01,UK,GB
BBC138897,2,BBCLTG02,UK,GB
BBC138897,10,BBCLTG03,UK,GB
BBC138900,1,BBCLTG01,UK,GB
BBC138900,2,BBCLTG02,UK,GB
BBC138900,10,BBCLTG03,UK,GB
BBC138903,1,BBCDPR01,UK,GB
BBC138904,1,BBCDPR01,UK,GB
BBC138905,1,BBCDPR01,UK,GB
BBC138906,1,BBCFDR01,UK,GB
BBC138906,4,BBCFDR02,UK,GB
BBC138906,26,BBCFDR03,UK,GB
BBC138909,1,BBCFDR01,UK,GB
BBC138909,4,BBCFDR02,UK,GB
BBC138909,26,BBCFDR03,UK,GB
BBC138912,1,BBCFDR01,UK,GB
BBC138912,4,BBCFDR02,UK,GB
BBC138912,26,BBCFDR03,UK,GB
BBC138915,1,BBCFDR01,UK,GB
BBC138915,4,BBCFDR02,UK,GB
BBC138915,26,BBCFDR03,UK,GB
BBC138918,1,BBCFEB01,UK,GB
BBC138918,4,BBCFEB02,UK,GB
BBC138918,16,BBCFEB03,UK,GB
BBC138921,1,BBCFEB01,UK,GB
BBC138921,4,BBCFEB02,UK,GB
BBC138921,16,BBCFEB03,UK,GB
BBC138924,1,BBCFEB01,UK,GB
BBC138924,4,BBCFEB02,UK,GB
BBC138924,16,BBCFEB03,UK,GB
BBC138927,1,BBCFEB01,UK,GB
BBC138927,4,BBCFEB02,UK,GB
BBC138927,16,BBCFEB03,UK,GB
BBC138930,1,BBCFSS01,UK,GB
BBC138930,2,BBCFSS02,UK,GB
BBC138932,1,BBCALS01,UK,GB
BBC138933,1,BBCDOT01,UK,GB
BBC138933,3,BBCDOT02,UK,GB
BBC138933,12,BBCDOT03,UK,GB
BBC138933,36,BBCDOT04,UK,GB
BBC138937,1,BBCDOT01,UK,GB
BBC138937,3,BBCDOT02,UK,GB
BBC138937,12,BBCDOT03,UK,GB
BBC138937,36,BBCDOT04,UK,GB
BBC138941,1,BBCDOT01,UK,GB
BBC138941,3,BBCDOT02,UK,GB
BBC138941,12,BBCDOT03,UK,GB
BBC138941,36,BBCDOT04,UK,GB
BBC138945,1,BBCAHU15,UK,GB
BBC138945,2,BBCAHU16,UK,GB
BBC138947,1,BBCAHU15,UK,GB
BBC138947,2,BBCAHU16,UK,GB
BBC138949,1,BBCHVT01,UK,GB
BBC138949,5,BBCHVT02,UK,GB
BBC138951,1,BBCHVT01,UK,GB
BBC138951,5,BBCHVT02,UK,GB
BBC138953,1,BBCHVS01,UK,GB
BBC138953,12,BBCHVS02,UK,GB
BBC138953,24,BBCHVS03,UK,GB
BBC138953,56,BBCHVS04,UK,GB
BBC138957,1,BBCLFT01,UK,GB
BBC138957,4,BBCLFT02,UK,GB
BBC138957,16,BBCLFT03,UK,GB
BBC138957,26,BBCLFT04,UK,GB
BBC138961,1,BBCLFT01,UK,GB
BBC138961,4,BBCLFT02,UK,GB
BBC138961,16,BBCLFT03,UK,GB
BBC138961,26,BBCLFT04,UK,GB
BBC138965,1,BBCLTG03,UK,GB
BBC138966,1,BBCLTG03,UK,GB
