DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC200043,1,BBCPDB01,UK,GB
BBC200043,2,BBCPDB02,UK,GB
BBC200043,4,BBCPDB03,UK,GB
BBC200043,20,BBCPDB04,UK,GB
BBC200044,1,BBCPDB01,UK,GB
BBC200044,2,BBCPDB02,UK,GB
BBC200044,4,BBCPDB03,UK,GB
BBC200044,20,BBCPDB04,UK,GB
BBC200045,1,BBCPDB01,UK,GB
BBC200045,2,BBCPDB02,UK,GB
BBC200045,4,BBCPDB03,UK,GB
BBC200045,20,BBCPDB04,UK,GB
BBC200046,1,BBCPDB01,UK,GB
BBC200046,2,BBCPDB02,UK,GB
BBC200046,4,BBCPDB03,UK,GB
BBC200046,20,BBCPDB04,UK,GB
BBC200047,1,BBCFAB01,UK,GB
BBC200048,1,BBCFAB01,UK,GB
BBC200049,1,BBCFAB01,UK,GB
BBC200050,1,BBCFAB01,UK,GB
BBC200051,1,BBCFAB01,UK,GB
BBC200052,1,BBCFAB01,UK,GB
BBC200053,1,BBCMDP01,UK,GB
BBC200054,1,BBCSDG01,UK,GB
BBC200054,52,BBCSDG02,UK,GB
BBC200054,156,BBCSDG03,UK,GB
BBC200055,1,BBCSDG01,UK,GB
BBC200055,52,BBCSDG02,UK,GB
BBC200055,156,BBCSDG03,UK,GB
BBC200056,1,BBCSDG01,UK,GB
BBC200056,52,BBCSDG02,UK,GB
BBC200056,156,BBCSDG03,UK,GB
BBC200057,1,BBCSDG01,UK,GB
BBC200057,52,BBCSDG02,UK,GB
BBC200057,156,BBCSDG03,UK,GB
BBC200058,1,BBCSDG01,UK,GB
BBC200058,52,BBCSDG02,UK,GB
BBC200058,156,BBCSDG03,UK,GB
BBC200059,1,BBCSDG01,UK,GB
BBC200059,52,BBCSDG02,UK,GB
BBC200059,156,BBCSDG03,UK,GB
BBC200060,1,BBCEEB01,UK,GB
BBC200061,1,BBCEWH01,UK,GB
BBC200061,2,BBCEWH02,UK,GB
BBC200062,1,BBCEWH01,UK,GB
BBC200062,2,BBCEWH02,UK,GB
BBC200063,1,BBCEWH01,UK,GB
BBC200063,2,BBCEWH02,UK,GB
BBC200064,1,BBCEWH01,UK,GB
BBC200064,2,BBCEWH02,UK,GB
BBC200065,1,BBCEWH01,UK,GB
BBC200065,2,BBCEWH02,UK,GB
BBC200066,1,BBCEWH01,UK,GB
BBC200066,2,BBCEWH02,UK,GB
BBC200067,1,BBCEWH01,UK,GB
BBC200067,2,BBCEWH02,UK,GB
BBC200068,1,BBCCPL01,UK,GB
BBC200068,4,BBCCPL02,UK,GB
BBC200068,20,BBCCPL03,UK,GB
BBC200069,1,BBCCPL01,UK,GB
BBC200069,4,BBCCPL02,UK,GB
BBC200069,20,BBCCPL03,UK,GB
BBC200070,1,BBCCPL01,UK,GB
BBC200070,4,BBCCPL02,UK,GB
BBC200070,20,BBCCPL03,UK,GB
BBC200071,1,BBCTHG01,UK,GB
BBC200071,4,BBCTHG02,UK,GB
BBC200072,1,BBCELT01,UK,GB
BBC200072,6,BBCELT02,UK,GB
BBC200072,12,BBCELT03,UK,GB
BBC200072,36,BBCELT04,UK,GB
BBC200073,1,BBCELT01,UK,GB
BBC200073,6,BBCELT02,UK,GB
BBC200073,12,BBCELT03,UK,GB
BBC200073,36,BBCELT04,UK,GB
BBC200074,1,BBCELT01,UK,GB
BBC200074,6,BBCELT02,UK,GB
BBC200074,12,BBCELT03,UK,GB
BBC200074,36,BBCELT04,UK,GB
BBC200075,1,BBCELT01,UK,GB
BBC200075,6,BBCELT02,UK,GB
BBC200075,12,BBCELT03,UK,GB
BBC200075,36,BBCELT04,UK,GB
BBC200076,1,BBCELT01,UK,GB
BBC200076,6,BBCELT02,UK,GB
BBC200076,12,BBCELT03,UK,GB
BBC200076,36,BBCELT04,UK,GB
BBC200077,1,BBCELT01,UK,GB
BBC200077,6,BBCELT02,UK,GB
BBC200077,12,BBCELT03,UK,GB
BBC200077,36,BBCELT04,UK,GB
BBC200078,1,BBCELT01,UK,GB
BBC200078,6,BBCELT02,UK,GB
BBC200078,12,BBCELT03,UK,GB
BBC200078,36,BBCELT04,UK,GB
BBC200079,1,BBCELT01,UK,GB
BBC200079,6,BBCELT02,UK,GB
BBC200079,12,BBCELT03,UK,GB
BBC200079,36,BBCELT04,UK,GB
BBC200080,2,BBCLEA02,UK,GB
BBC200080,1,BBCLEA01,UK,GB
BBC200081,2,BBCLEA02,UK,GB
BBC200081,1,BBCLEA01,UK,GB
BBC200082,2,BBCLEA02,UK,GB
BBC200082,1,BBCLEA01,UK,GB
BBC200083,2,BBCLEA02,UK,GB
BBC200083,1,BBCLEA01,UK,GB
BBC200084,1,BBCLTG01,UK,GB
BBC200084,2,BBCLTG02,UK,GB
BBC200084,10,BBCLTG03,UK,GB
BBC200085,1,BBCLTG01,UK,GB
BBC200085,2,BBCLTG02,UK,GB
BBC200085,10,BBCLTG03,UK,GB
BBC200086,1,BBCLTG01,UK,GB
BBC200086,2,BBCLTG02,UK,GB
BBC200086,10,BBCLTG03,UK,GB
BBC200087,1,BBCLTG01,UK,GB
BBC200087,2,BBCLTG02,UK,GB
BBC200087,10,BBCLTG03,UK,GB
BBC200088,1,BBCLTG01,UK,GB
BBC200088,2,BBCLTG02,UK,GB
BBC200088,10,BBCLTG03,UK,GB
BBC200089,1,BBCLTG01,UK,GB
BBC200089,2,BBCLTG02,UK,GB
BBC200089,10,BBCLTG03,UK,GB
BBC200090,1,BBCLTG01,UK,GB
BBC200090,2,BBCLTG02,UK,GB
BBC200090,10,BBCLTG03,UK,GB
BBC200091,1,BBCLTG01,UK,GB
BBC200091,2,BBCLTG02,UK,GB
BBC200091,10,BBCLTG03,UK,GB
BBC200092,1,BBCAHU05,UK,GB
BBC200092,3,BBCAHU06,UK,GB
BBC200092,6,BBCAHU07,UK,GB
BBC200092,12,BBCAHU08,UK,GB
BBC200093,1,BBCAHU05,UK,GB
BBC200093,3,BBCAHU06,UK,GB
BBC200093,6,BBCAHU07,UK,GB
BBC200093,12,BBCAHU08,UK,GB
BBC200094,1,BBCFCU01,UK,GB
BBC200094,2,BBCFCU02,UK,GB
BBC200094,4,BBCFCU03,UK,GB
BBC200094,8,BBCFCU04,UK,GB
BBC200095,1,BBCFCU01,UK,GB
BBC200095,2,BBCFCU02,UK,GB
BBC200095,4,BBCFCU03,UK,GB
BBC200095,8,BBCFCU04,UK,GB
BBC200096,1,BBCFCU01,UK,GB
BBC200096,2,BBCFCU02,UK,GB
BBC200096,4,BBCFCU03,UK,GB
BBC200096,8,BBCFCU04,UK,GB
BBC200097,1,BBCFCU01,UK,GB
BBC200097,2,BBCFCU02,UK,GB
BBC200097,4,BBCFCU03,UK,GB
BBC200097,8,BBCFCU04,UK,GB
BBC200098,1,BBCFCU01,UK,GB
BBC200098,2,BBCFCU02,UK,GB
BBC200098,4,BBCFCU03,UK,GB
BBC200098,8,BBCFCU04,UK,GB
BBC200099,1,BBCFCU01,UK,GB
BBC200099,2,BBCFCU02,UK,GB
BBC200099,4,BBCFCU03,UK,GB
BBC200099,8,BBCFCU04,UK,GB
BBC200100,1,BBCFDR01,UK,GB
BBC200100,13,BBCFDR02,UK,GB
BBC200100,26,BBCFDR03,UK,GB
BBC200101,1,BBCFDR01,UK,GB
BBC200101,12,BBCFDR02,UK,GB
BBC200101,26,BBCFDR03,UK,GB
BBC200102,1,BBCFDR01,UK,GB
BBC200102,13,BBCFDR02,UK,GB
BBC200102,26,BBCFDR03,UK,GB
BBC200103,1,BBCFDR01,UK,GB
BBC200103,13,BBCFDR02,UK,GB
BBC200103,26,BBCFDR03,UK,GB
BBC200104,1,BBCFDR01,UK,GB
BBC200104,13,BBCFDR02,UK,GB
BBC200104,26,BBCFDR03,UK,GB
BBC200105,1,BBCFDR01,UK,GB
BBC200105,13,BBCFDR02,UK,GB
BBC200105,26,BBCFDR03,UK,GB
BBC200106,1,BBCFDR01,UK,GB
BBC200106,13,BBCFDR02,UK,GB
BBC200106,26,BBCFDR03,UK,GB
BBC200107,1,BBCFEB01,UK,GB
BBC200107,4,BBCFEB02,UK,GB
BBC200107,16,BBCFEB03,UK,GB
BBC200108,1,BBCFEB01,UK,GB
BBC200108,4,BBCFEB02,UK,GB
BBC200108,16,BBCFEB03,UK,GB
BBC200109,1,BBCFEB01,UK,GB
BBC200109,4,BBCFEB02,UK,GB
BBC200109,16,BBCFEB03,UK,GB
BBC200110,1,BBCFEB01,UK,GB
BBC200110,4,BBCFEB02,UK,GB
BBC200110,16,BBCFEB03,UK,GB
BBC200111,1,BBCFEB01,UK,GB
BBC200111,4,BBCFEB02,UK,GB
BBC200111,16,BBCFEB03,UK,GB
BBC200112,1,BBCFEB01,UK,GB
BBC200112,4,BBCFEB02,UK,GB
BBC200112,16,BBCFEB03,UK,GB
BBC200113,1,BBCFEB01,UK,GB
BBC200113,4,BBCFEB02,UK,GB
BBC200113,16,BBCFEB03,UK,GB
BBC200114,1,BBCAHU15,UK,GB
BBC200114,2,BBCAHU16,UK,GB
BBC200115,1,BBCAHU15,UK,GB
BBC200115,2,BBCAHU16,UK,GB
BBC200116,1,BBCLFT01,UK,GB
BBC200116,4,BBCLFT02,UK,GB
BBC200116,13,BBCLFT03,UK,GB
BBC200116,26,BBCLFT04,UK,GB
BBC200117,1,BBCLFT01,UK,GB
BBC200117,16,BBCLFT02,UK,GB
BBC200117,13,BBCLFT03,UK,GB
BBC200117,26,BBCLFT04,UK,GB
BBC200118,1,BBCLTG03,UK,GB
BBC200119,1,BBCLTG03,UK,GB
BBC200120,1,BBCLTG03,UK,GB
BBC200121,1,BBCLTG03,UK,GB
BBC200122,1,BBCISS01,UK,GB
BBC200122,4,BBCISS02,UK,GB
BBC200123,1,BBCISS01,UK,GB
BBC200123,4,BBCISS02,UK,GB
BBC200124,1,BBCISS01,UK,GB
BBC200124,4,BBCISS02,UK,GB
BBC200125,1,BBCISS01,UK,GB
BBC200125,4,BBCISS02,UK,GB
BBC200126,1,BBCISS01,UK,GB
BBC200126,4,BBCISS02,UK,GB
BBC200127,1,BBCISS01,UK,GB
BBC200127,4,BBCISS02,UK,GB
BBC200128,1,BBCISS01,UK,GB
BBC200128,4,BBCISS02,UK,GB
BBC200129,1,BBCISS01,UK,GB
BBC200129,4,BBCISS02,UK,GB
BBC200130,1,BBCISS01,UK,GB
BBC200130,4,BBCISS02,UK,GB
BBC200131,1,BBCISS01,UK,GB
BBC200131,4,BBCISS02,UK,GB
BBC200132,1,BBCISS01,UK,GB
BBC200132,4,BBCISS02,UK,GB
