DATALOAD,IRV_PM,,EN
PMNUM,DESCRIPTION,ASSETNUM,LOCATION,FREQUENCY,FREQUNIT,JPNUM,ADJNEXTDATE,ALERTLEAD,DOWNTIME,HASCHILDREN,HASLD,INTERRUPTIBLE,LEADTIME,LOCKFORECAST,LTDPMCOUNTER,OVERRIDEMASTERUPD,PLUSCDUEDATE,PMACTMETER,PMASSETWOGEN,PMCOUNTER,REFORECAST,REQASSTDWNTIME,SCHEDEARLY,SUNDAY,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,INCLFORECAST,JPSEQINUSE,PARENTCHGSSTATUS,USEFREQUENCY,USETARGETDATE,TARGSTARTTIME,NEXTDATE,STATUS,LANGCODE,SITEID,ORGID,STORELOC,WORKTYPE,WOSTATUS,GLACCOUNT,CREWID,ROUTE,OWNER,LEAD,PERSONGROUP,OWNERGROUP,VENDOR,SUPERVISOR,PRIORITY
BBC200330,BOILER ATMOSPHERIC GAS FIRED ,2014-33516,,6,MONTHS,BBCBGF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200331,BOILER ATMOSPHERIC GAS FIRED ,2014-33517,,6,MONTHS,BBCBGF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200332,BOILER ATMOSPHERIC GAS FIRED ,2014-33773,,6,MONTHS,BBCBGF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200333,BOILER ATMOSPHERIC GAS FIRED ,2014-33774,,6,MONTHS,BBCBGF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200334,BOILER ATMOSPHERIC GAS FIRED ,2014-33776,,6,MONTHS,BBCBGF01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200335,VIDEO & AUDIO ACCESS ,2014-54442,,1,YEARS,BBCVAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200336,VIDEO & AUDIO ACCESS ,2014-54397,,1,YEARS,BBCVAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200337,VIDEO & AUDIO ACCESS ,2014-63657,,1,YEARS,BBCVAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200338,VIDEO & AUDIO ACCESS ,2014-63658,,1,YEARS,BBCVAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200339,VIDEO & AUDIO ACCESS ,2014-63693,,1,YEARS,BBCVAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200340,VIDEO & AUDIO ACCESS ,2014-63694,,1,YEARS,BBCVAA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
BBC200341,EMERGENCY & GAS SHUT-OFF VALVES ,2014-33781,,3,MONTHS,BBCGSV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Y,1,1,Y,1970-01-01T00:00:00+01:00,2014-08-14T00:00:00+00:00,ACTIVE,EN,GB,UK,GB,PPM,WSCH,??????????-MEPMXF,,,,,,,,,
