DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1006577,2014-63758,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB-CTA-01B,1,1,2014,FACILITIES,SCHNEIDER ELECTRIC,NO ACCESS,,,6,1,20,2014-63758,,1,No Access,2014-04-22T12:40:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006577,2014-63759,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,MDB-CTA-01,1,1,2014,FACILITIES,SCHNEIDER ELECTRIC,NO ACCESS,,,6,1,20,2014-63759,,1,No Access,2014-04-22T12:40:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006577,2014-63760,BBCADD009,ENERGY METER,DB-CTA-01A METER,1,1,2014,FACILITIES,SCHNEIDER ELECTRIC,PM710,,,6,4,15,2014-63760,,1,,2014-04-22T12:40:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006577,2014-63761,BBCADD009,LEAK DETECTION SYSTEM,N/A,1,1,2014,FACILITIES,AQUITRON,AT-MZA,,NOT PRESENT,6,3,10,2014-63761,,1,,2014-04-22T12:43:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006577,2014-63762,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),CRAC UNIT 2,1,1,2014,FACILITIES,UNIFLAIR,NOT PRESENT,,NOT PRESENT,6,1,15,2014-63762,,1,Not Present,2014-04-22T12:45:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006577,2014-63763,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),CRAC UNIT 1,1,1,2014,FACILITIES,UNIFLAIR,NOT PRESENT,,NOT PRESENT,6,1,15,2014-63763,,1,Not Present,2014-04-22T12:45:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006578,2014-63787,BBCADD009,UPS UNIT STATIC,NOT PRESENT,1,1,2014,FACILITIES,NOT PRESENT,NOT PRESENT,,NOT PRESENT,6,1,20,2014-63787,,1,Not Present,2014-04-22T14:23:00+00:00,kV,BBC,,,,GB,OPERATING,,,
,1006578,2014-63788,BBCADD009,CWS METER,WATER METER,1,1,2014,FACILITIES,HIGH LEVEL,HIGH LEVEL,,HIGH LEVEL,6,4,20,2014-63788,,1,Hugh Level,2014-04-22T14:25:00+00:00,l/m,BBC,,,,GB,OPERATING,,,
,1006578,2014-63789,BBCADD009,SUPPLY FAN,N/A,1,1,2014,FACILITIES,HIGH LEVEL,HIGH LEVEL,,,6,2,20,2014-63789,,1,High Level,2014-04-22T14:27:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006579,2014-63717,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,N/A,1,1,2005,FACILITIES,MEM,AM4,,,5,2,20,2014-63717,,1,4,2014-04-22T10:35:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
