DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1000803,2014-068774,BBCADD017,BUILDING MANAGEMENT SYSTEM,OVERPRESSURE DIESEL LEAK DETECTION PANEL,1,1,2008,FACILITIES,SGB,DKR-G 8M,,,5,2,10,2014-68774,,1,,2014-01-16T11:02:00+00:00,,BBC,,,,GB,OPERATING,,,
,1000803,2014-068775,BBCADD017,OIL TANKS ABOVE GROUND,FUEL OIL DAY TANK,1,1,2003,FACILITIES,KORONKA,28990/2,,,5,2,20,2014-68775,,1,140,2014-01-16T11:09:00+00:00,Gallons,BBC,,,,GB,OPERATING,,,
,1000803,2014-068777,BBCADD017,AUTO FUEL SHUT OFF VALVE,FIRE SHUT-OFF VALVE,1,1,2007,FACILITIES,KINGSWAY LANDON,DROP VALVE,,,5,1,20,2014-68777,,1,"2""",2014-01-16T11:06:00+00:00,,BBC,,,,GB,OPERATING,,,
,1000803,2014-068778,BBCADD017,DIESEL GENERATOR (STANDBY),GENERATOR SET,1,1,2007,FACILITIES,DDC/MTU,NA,159360,,5,1,25,2014-68778,,1,1000,2014-01-16T11:15:00+00:00,kV,BBC,,,,GB,OPERATING,,,
