DATALOAD,IRV_LOCATIONS,Delete,EN
LOCATION,DESCRIPTION,PARENT,DESCRIPTION_LONGDESCRIPTION,IRV_ALSOKAS,IRVLOCLEVEL,GLACCOUNT,SADDRESSCODE,IRV_LOCCRITICAL,IRV_CUSTPRIORITY,PLUSPCOSTCENTER,CHILDREN,CALNUM,SHIFTNUM,DISABLED,HASCHILDREN,HASLD,HASPARENT,SITEID,STATUS,SYSTEMID,TYPE,USEINPOPR,IRV_ASBESTOSPRES,IRV_DESIGNTATEDOW,ISDEFAULT,ISREPAIRFACILITY,LANGCODE,ORGID,PLUSCLOOP,PLUSCPMEXTDATE,PLUSPCUSTOMER,AUTOWOGEN,BILLTOADDRESSCODE,BILLTOLABORCODE,CLASSSTRUCTUREID,SHIPTOADDRESSCODE,SHIPTOLABORCODE
1006595,Millbank-1st Floor-MBR8,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006596,Millbank-1st Floor-Media Hub,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006597,Millbank-1st Floor-Millbank MMA,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006598,Millbank-1st Floor-Radio Studio 3,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006599,Millbank-1st Floor-Studio,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006600,Millbank-1st Floor-Studio 1 Cubicle,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006601,Millbank-1st Floor-Studio 2,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006602,Millbank-1st Floor-Toilet Core 2 Gents,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006603,Millbank-1st Floor-Toilet Core 2 Ladies,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006604,Millbank-1st Floor-Toilet Core 4 Gents,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006605,Millbank-1st Floor-Toilet Core 4 Ladies,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006606,Millbank-1st Floor-Toilet Disabled,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006607,Millbank-1st Floor-Workshop Engineers Room,1006573,,,ROOM,BBC009B,BBCADD009,0,3,BLD-2202-W302,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006608,Millbank-6th Floor-Computer Room Apps Room,1006574,,,ROOM,BBC009C,BBCADD009,0,3,BLD-2202-W303,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
